course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
1,1,1,1,"PF1 — Earning Income: Income, Benefits, and the Cost of Getting Qualified",ma-g9-financial-literacy-u01-l01,Launch and diagnostic,gross pay versus take-home pay
2,1,2,1,"PF1 — Earning Income: Income, Benefits, and the Cost of Getting Qualified",ma-g9-financial-literacy-u01-l02,Concept model A,employee benefit packages as compensation
3,2,1,1,"PF1 — Earning Income: Income, Benefits, and the Cost of Getting Qualified",ma-g9-financial-literacy-u01-l03,Concept model B,payroll deductions a worker is likely to see
4,2,2,1,"PF1 — Earning Income: Income, Benefits, and the Cost of Getting Qualified",ma-g9-financial-literacy-u01-l04,Guided practice,cost and time of required education or technical skills
5,3,1,1,"PF1 — Earning Income: Income, Benefits, and the Cost of Getting Qualified",ma-g9-financial-literacy-u01-l05,Applied simulation,non-income factors in career choice
6,3,2,1,"PF1 — Earning Income: Income, Benefits, and the Cost of Getting Qualified",ma-g9-financial-literacy-u01-l06,Comparison and analysis,other possible sources of income
7,4,1,1,"PF1 — Earning Income: Income, Benefits, and the Cost of Getting Qualified",ma-g9-financial-literacy-u01-l07,Error and misconception analysis,gross pay versus take-home pay
8,4,2,1,"PF1 — Earning Income: Income, Benefits, and the Cost of Getting Qualified",ma-g9-financial-literacy-u01-l08,Transfer to a new case,employee benefit packages as compensation
9,5,1,1,"PF1 — Earning Income: Income, Benefits, and the Cost of Getting Qualified",ma-g9-financial-literacy-u01-l09,Synthesis and review,payroll deductions a worker is likely to see
10,5,2,1,"PF1 — Earning Income: Income, Benefits, and the Cost of Getting Qualified",ma-g9-financial-literacy-u01-l10,Unit performance task,cost and time of required education or technical skills
11,6,1,2,PF2 — Buying Goods and Services: Comparing a Purchase Before You Make It,ma-g9-financial-literacy-u02-l01,Launch and diagnostic,"price, quality, and fitness for purpose"
12,6,2,2,PF2 — Buying Goods and Services: Comparing a Purchase Before You Make It,ma-g9-financial-literacy-u02-l02,Concept model A,total cost beyond the sticker price
13,7,1,2,PF2 — Buying Goods and Services: Comparing a Purchase Before You Make It,ma-g9-financial-literacy-u02-l03,Concept model B,"reading a disclosure, label, or warranty"
14,7,2,2,PF2 — Buying Goods and Services: Comparing a Purchase Before You Make It,ma-g9-financial-literacy-u02-l04,Guided practice,the role of government in consumer information
15,8,1,2,PF2 — Buying Goods and Services: Comparing a Purchase Before You Make It,ma-g9-financial-literacy-u02-l05,Applied simulation,advertising claims versus verifiable claims
16,8,2,2,PF2 — Buying Goods and Services: Comparing a Purchase Before You Make It,ma-g9-financial-literacy-u02-l06,Comparison and analysis,recording a decision and its reasons
17,9,1,2,PF2 — Buying Goods and Services: Comparing a Purchase Before You Make It,ma-g9-financial-literacy-u02-l07,Error and misconception analysis,"price, quality, and fitness for purpose"
18,9,2,2,PF2 — Buying Goods and Services: Comparing a Purchase Before You Make It,ma-g9-financial-literacy-u02-l08,Transfer to a new case,total cost beyond the sticker price
19,10,1,2,PF2 — Buying Goods and Services: Comparing a Purchase Before You Make It,ma-g9-financial-literacy-u02-l09,Synthesis and review,"reading a disclosure, label, or warranty"
20,10,2,2,PF2 — Buying Goods and Services: Comparing a Purchase Before You Make It,ma-g9-financial-literacy-u02-l10,Unit performance task,the role of government in consumer information
21,11,1,3,PF3 — Budgeting and Saving: Building a Budget That Survives a Surprise,ma-g9-financial-literacy-u03-l01,Launch and diagnostic,incentives to set aside income for future consumption
22,11,2,3,PF3 — Budgeting and Saving: Building a Budget That Survives a Surprise,ma-g9-financial-literacy-u03-l02,Concept model A,"fixed, variable, and periodic expenses"
23,12,1,3,PF3 — Budgeting and Saving: Building a Budget That Survives a Surprise,ma-g9-financial-literacy-u03-l03,Concept model B,simple and compound interest on savings
24,12,2,3,PF3 — Budgeting and Saving: Building a Budget That Survives a Surprise,ma-g9-financial-literacy-u03-l04,Guided practice,the effect of time on the value of savings
25,13,1,3,PF3 — Budgeting and Saving: Building a Budget That Survives a Surprise,ma-g9-financial-literacy-u03-l05,Applied simulation,emergency reserves and stress-testing
26,13,2,3,PF3 — Budgeting and Saving: Building a Budget That Survives a Surprise,ma-g9-financial-literacy-u03-l06,Comparison and analysis,tracking a plan against what actually happened
27,14,1,3,PF3 — Budgeting and Saving: Building a Budget That Survives a Surprise,ma-g9-financial-literacy-u03-l07,Error and misconception analysis,incentives to set aside income for future consumption
28,14,2,3,PF3 — Budgeting and Saving: Building a Budget That Survives a Surprise,ma-g9-financial-literacy-u03-l08,Transfer to a new case,"fixed, variable, and periodic expenses"
29,15,1,3,PF3 — Budgeting and Saving: Building a Budget That Survives a Surprise,ma-g9-financial-literacy-u03-l09,Synthesis and review,simple and compound interest on savings
30,15,2,3,PF3 — Budgeting and Saving: Building a Budget That Survives a Surprise,ma-g9-financial-literacy-u03-l10,Unit performance task,the effect of time on the value of savings
31,16,1,4,PF4 — Using Credit: What Credit Costs and What Aid Is,ma-g9-financial-literacy-u04-l01,Launch and diagnostic,benefits and costs of using credit
32,16,2,4,PF4 — Using Credit: What Credit Costs and What Aid Is,ma-g9-financial-literacy-u04-l02,Concept model A,"interest rate, APR, term, and total repaid"
33,17,1,4,PF4 — Using Credit: What Credit Costs and What Aid Is,ma-g9-financial-literacy-u04-l03,Concept model B,what a credit history records and why it matters
34,17,2,4,PF4 — Using Credit: What Credit Costs and What Aid Is,ma-g9-financial-literacy-u04-l04,Guided practice,FAFSA and the aid application process
35,18,1,4,PF4 — Using Credit: What Credit Costs and What Aid Is,ma-g9-financial-literacy-u04-l05,Applied simulation,"grants, scholarships, and work study versus loans"
36,18,2,4,PF4 — Using Credit: What Credit Costs and What Aid Is,ma-g9-financial-literacy-u04-l06,Comparison and analysis,consequences of missed or minimum payments
37,19,1,4,PF4 — Using Credit: What Credit Costs and What Aid Is,ma-g9-financial-literacy-u04-l07,Error and misconception analysis,benefits and costs of using credit
38,19,2,4,PF4 — Using Credit: What Credit Costs and What Aid Is,ma-g9-financial-literacy-u04-l08,Transfer to a new case,"interest rate, APR, term, and total repaid"
39,20,1,4,PF4 — Using Credit: What Credit Costs and What Aid Is,ma-g9-financial-literacy-u04-l09,Synthesis and review,what a credit history records and why it matters
40,20,2,4,PF4 — Using Credit: What Credit Costs and What Aid Is,ma-g9-financial-literacy-u04-l10,Unit performance task,FAFSA and the aid application process
41,21,1,4,PF4 — Using Credit: What Credit Costs and What Aid Is,ma-g9-financial-literacy-u04-l11,Defense and extension,"grants, scholarships, and work study versus loans"
42,21,2,5,"PF5 — Financial Investing: Risk, Return, and Why Diversification Matters",ma-g9-financial-literacy-u05-l01,Launch and diagnostic,risk and expected rate of return
43,22,1,5,"PF5 — Financial Investing: Risk, Return, and Why Diversification Matters",ma-g9-financial-literacy-u05-l02,Concept model A,how inflation changes real returns
44,22,2,5,"PF5 — Financial Investing: Risk, Return, and Why Diversification Matters",ma-g9-financial-literacy-u05-l03,Concept model B,the importance of diversification
45,23,1,5,"PF5 — Financial Investing: Risk, Return, and Why Diversification Matters",ma-g9-financial-literacy-u05-l04,Guided practice,time horizon and goal matching
46,23,2,5,"PF5 — Financial Investing: Risk, Return, and Why Diversification Matters",ma-g9-financial-literacy-u05-l05,Applied simulation,the role of government agencies in investing
47,24,1,5,"PF5 — Financial Investing: Risk, Return, and Why Diversification Matters",ma-g9-financial-literacy-u05-l06,Comparison and analysis,tax-advantaged accounts in outline
48,24,2,5,"PF5 — Financial Investing: Risk, Return, and Why Diversification Matters",ma-g9-financial-literacy-u05-l07,Error and misconception analysis,risk and expected rate of return
49,25,1,5,"PF5 — Financial Investing: Risk, Return, and Why Diversification Matters",ma-g9-financial-literacy-u05-l08,Transfer to a new case,how inflation changes real returns
50,25,2,5,"PF5 — Financial Investing: Risk, Return, and Why Diversification Matters",ma-g9-financial-literacy-u05-l09,Synthesis and review,the importance of diversification
51,26,1,5,"PF5 — Financial Investing: Risk, Return, and Why Diversification Matters",ma-g9-financial-literacy-u05-l10,Unit performance task,time horizon and goal matching
