week,course_day,unit_number,day_in_unit,lesson_id,phase,focus
1,1,1,1,ma-g4-ready-for-life-u01-l01,Launch and diagnostic,why shared spaces need care
2,2,1,2,ma-g4-ready-for-life-u01-l02,Explicit model,building a ten-minute reset
3,3,1,3,ma-g4-ready-for-life-u01-l03,Guided practice,storage that works
4,4,1,4,ma-g4-ready-for-life-u01-l04,Application or project,noticing hazards early
5,5,1,5,ma-g4-ready-for-life-u01-l05,Mastery check,matching task size to time
6,6,1,6,ma-g4-ready-for-life-u01-l06,Correction and reflection,finishing the loop
7,7,2,1,ma-g4-ready-for-life-u02-l01,Launch and diagnostic,sorting by color and fabric
8,8,2,2,ma-g4-ready-for-life-u02-l02,Explicit model,care symbols and labels
9,9,2,3,ma-g4-ready-for-life-u02-l03,Guided practice,supervised machine loading
10,10,2,4,ma-g4-ready-for-life-u02-l04,Application or project,handwashing a small item
11,11,2,5,ma-g4-ready-for-life-u02-l05,Mastery check,"folding, hanging, and matching"
12,12,2,6,ma-g4-ready-for-life-u02-l06,Correction and reflection,a put-away system
13,13,3,1,ma-g4-ready-for-life-u03-l01,Launch and diagnostic,the kitchen reset in order
14,14,3,2,ma-g4-ready-for-life-u03-l02,Explicit model,handwashing and surface cleaning
15,15,3,3,ma-g4-ready-for-life-u03-l03,Guided practice,cross-contamination basics
16,16,3,4,ma-g4-ready-for-life-u03-l04,Application or project,steps that require an adult
17,17,3,5,ma-g4-ready-for-life-u03-l05,Mastery check,a simple no-heat preparation
18,18,3,6,ma-g4-ready-for-life-u03-l06,Correction and reflection,storage and final cleanup
19,19,4,1,ma-g4-ready-for-life-u04-l01,Launch and diagnostic,"hunger, thirst, and stress signals"
20,20,4,2,ma-g4-ready-for-life-u04-l02,Explicit model,noticing without judging
21,21,4,3,ma-g4-ready-for-life-u04-l03,Guided practice,hydration across the day
22,22,4,4,ma-g4-ready-for-life-u04-l04,Application or project,building a plate with variety
23,23,4,5,ma-g4-ready-for-life-u04-l05,Mastery check,sleep and recovery routines
24,24,4,6,ma-g4-ready-for-life-u04-l06,Correction and reflection,asking a trusted adult for help
25,25,5,1,ma-g4-ready-for-life-u05-l01,Launch and diagnostic,using a weekly calendar
26,26,5,2,ma-g4-ready-for-life-u05-l02,Explicit model,preparing the night before
27,27,5,3,ma-g4-ready-for-life-u05-l03,Guided practice,packing and unpacking systems
28,28,5,4,ma-g4-ready-for-life-u05-l04,Application or project,borrowing and returning responsibly
29,29,5,5,ma-g4-ready-for-life-u05-l05,Mastery check,asking for help early
30,30,5,6,ma-g4-ready-for-life-u05-l06,Correction and reflection,repairing a missed responsibility
31,31,6,1,ma-g4-ready-for-life-u06-l01,Launch and diagnostic,choosing a contribution
32,32,6,2,ma-g4-ready-for-life-u06-l02,Explicit model,planning steps and materials
33,33,6,3,ma-g4-ready-for-life-u06-l03,Guided practice,safety and supervision planning
34,34,6,4,ma-g4-ready-for-life-u06-l04,Application or project,carrying out the contribution
35,35,6,5,ma-g4-ready-for-life-u06-l05,Mastery check,checking the result
36,36,6,6,ma-g4-ready-for-life-u06-l06,Correction and reflection,reflecting and setting a next step
