case_number,lesson_id,grade,work_mode,scoring_stance,generator_family,before_classification,before_boundary_violation,before_learner_visible_repair,correction_model,after_classification,after_boundary_violation,after_learner_support,learner_passing_change_present_after,semantic_exact_repair_visible_after,adult_trusted_solution_complete,generated_learner_package,adult_scoring_guide,after_package_sha256,after_scoring_guide_sha256
1,ma-g10-technology-u01-l02,10,MODEL,FORMATIVE_NO_PENALTY,DATA_AGGREGATION,LEGITIMATE_WORKED_EXAMPLE,false,"The reducer uses total + record.value; the tests return 6, 0, and 0.",worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,"The reducer uses total + record.value; the tests return 6, 0, and 0.",true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u01-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u01-l02.scoring-guide.json,07e39f88096a21cc2073ffc262ceaa461eb34094c2f340bb90d02f980dde416d,7e1c0e5b587aba6280ad4fdc8ef8aedcf7f3443df992a2c78c359e62f060acc0
2,ma-g10-technology-u01-l03,10,GUIDED,PROGRESS_EVIDENCE,DATA_AGGREGATION,FULL_SOLUTION_BEFORE_ATTEMPT,true,"The reducer uses total + record.value; the tests return 6, 0, and 0.",hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u01-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u01-l03.scoring-guide.json,e2de40d0c27f7f86df96f1e5394b2bbd11de6e159f1753a94c0307c25297cfe1,4e4a3da2586c3d2468262e81d64f5259d2fdd169138e5afb98d409b5dedec7ff
3,ma-g10-technology-u02-l01,10,PROBE,FORMATIVE_NO_PENALTY,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,true,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Before editing, record the unchanged output and identify which stated rule is first contradicted. Do not look for or request a finished repair.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u02-l01.scoring-guide.json,dd0f1c5feea2ce614c1c8e81ecb14148c61e0059640ae413296d54155a085f6a,d63ec0e4074b7e5931c1a23146ecdb7576476d00a45150d67427f4a607ad153b
4,ma-g10-technology-u02-l02,10,MODEL,FORMATIVE_NO_PENALTY,ALGORITHM_INITIALIZATION,LEGITIMATE_WORKED_EXAMPLE,false,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u02-l02.scoring-guide.json,7da58b71961e909c40c3cfb46bda3a320a900b65956447a2a6733f98e99cf77b,854c7621d8bd425cf49145c816bee6f87628e29032371b0989b8ed62f597aaa4
5,ma-g10-technology-u02-l03,10,GUIDED,PROGRESS_EVIDENCE,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,true,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u02-l03.scoring-guide.json,3f79af982b4653eed1265840d62cb743c5bce079039bd0b22d230d2a0f2141d9,7be12bcfcb56569760ade66a6330a6a9da402abe148db354694a8f852b34d42c
6,ma-g10-technology-u02-l04,10,BUILD,PROGRESS_EVIDENCE,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,true,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",hint ladder plus trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Use the three tests to isolate one defect region, then choose and justify the smallest edit that satisfies the specification without weakening a boundary test.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u02-l04.scoring-guide.json,4afd1aacc191a557747e117c43ef5fbd509932a7d7e5fb515ba3be15aca30577,0778b6829f9469da61adcb3b30a8a61024680c404e55e3425611c25f67487a54
7,ma-g10-technology-u02-l05,10,DEMONSTRATE,SUMMATIVE,ALGORITHM_INITIALIZATION,SUMMATIVE_SOLUTION_EXPOSURE,true,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.","trusted solution reference, then post-submission review",SUMMATIVE_SOLUTION_WITHHELD_BEFORE_EVIDENCE,false,"Run and record the unchanged program, then diagnose and repair it independently from the specification and tests. No solution or worked repair is included in learner material.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u02-l05.scoring-guide.json,4fefda57ae939fe2c05ee3f3a125350f67a88cacba39b92495493141a7a4adc3,b903045fa6430dc2ba58f8bb8849a8dd15f1d1df4c02f031ee58519bcb6b503c
8,ma-g10-technology-u02-l06,10,CORRECT,PROGRESS_EVIDENCE,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,true,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",post-submission review,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Preserve the original run and repair attempt in the defect log. Compare the earliest divergent state with the specification before proposing a revised repair.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u02-l06.scoring-guide.json,24a5f2c4d0d90e0b2d60149ab7c26461c284588233fa80155ca41459ab4a1401,207b0038eba7d3154b717ec547835caf0922e7ad0d7c776c45227b394ef4aebe
9,ma-g10-technology-u03-l02,10,MODEL,FORMATIVE_NO_PENALTY,DATA_AGGREGATION,LEGITIMATE_WORKED_EXAMPLE,false,"The reducer uses total + record.value; the tests return 6, 0, and 0.",worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,"The reducer uses total + record.value; the tests return 6, 0, and 0.",true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u03-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u03-l02.scoring-guide.json,f09703642be91838df9ed2440d31e840218d714cbec2a9d52adef815985dd3c1,ce6c92a57ae22839d6102f29d72a812f857fe35c1438f5d4e9353205aa1ce6b6
10,ma-g10-technology-u03-l03,10,GUIDED,PROGRESS_EVIDENCE,DATA_AGGREGATION,FULL_SOLUTION_BEFORE_ATTEMPT,true,"The reducer uses total + record.value; the tests return 6, 0, and 0.",hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u03-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u03-l03.scoring-guide.json,ee894e119cb1a77781a6043119723d998d59a7754ffebc6d3da68cc5eb13576e,f0a40d668861f6d7307d3c317652a881dace3348381ac6d25187e6c295b64996
