week,course_day,unit_number,day_in_unit,lesson_id,phase,focus
1,1,1,1,ma-g4-financial-literacy-u01-l01,Launch and diagnostic,"needs, wants, and priorities"
2,2,1,2,ma-g4-financial-literacy-u01-l02,Explicit model,scarcity and tradeoffs
3,3,1,3,ma-g4-financial-literacy-u01-l03,Guided practice,what a choice costs us
4,4,1,4,ma-g4-financial-literacy-u01-l04,Application or project,money as a tool
5,5,1,5,ma-g4-financial-literacy-u01-l05,Mastery check,a four-step decision routine
6,6,1,6,ma-g4-financial-literacy-u01-l06,Correction and reflection,family differences and dignity
7,7,2,1,ma-g4-financial-literacy-u02-l01,Launch and diagnostic,ways people earn income
8,8,2,2,ma-g4-financial-literacy-u02-l02,Explicit model,"skills, training, and practice"
9,9,2,3,ma-g4-financial-literacy-u02-l03,Guided practice,simulated pay and set-asides
10,10,2,4,ma-g4-financial-literacy-u02-l04,Application or project,small business ideas
11,11,2,5,ma-g4-financial-literacy-u02-l05,Mastery check,unpaid family and community work
12,12,2,6,ma-g4-financial-literacy-u02-l06,Correction and reflection,responsibility and fairness at work
13,13,3,1,ma-g4-financial-literacy-u03-l01,Launch and diagnostic,unit price and comparing
14,14,3,2,ma-g4-financial-literacy-u03-l02,Explicit model,comparison shopping steps
15,15,3,3,ma-g4-financial-literacy-u03-l03,Guided practice,a simple simulated tax add-on
16,16,3,4,ma-g4-financial-literacy-u03-l04,Application or project,fixed and flexible categories
17,17,3,5,ma-g4-financial-literacy-u03-l05,Mastery check,a one-week simulated budget
18,18,3,6,ma-g4-financial-literacy-u03-l06,Correction and reflection,checking totals and fixing errors
19,19,4,1,ma-g4-financial-literacy-u04-l01,Launch and diagnostic,short-term and long-term goals
20,20,4,2,ma-g4-financial-literacy-u04-l02,Explicit model,a simulated savings plan
21,21,4,3,ma-g4-financial-literacy-u04-l03,Guided practice,what banks and credit unions do
22,22,4,4,ma-g4-financial-literacy-u04-l04,Application or project,interest as a simple idea
23,23,4,5,ma-g4-financial-literacy-u04-l05,Mastery check,keeping money information private
24,24,4,6,ma-g4-financial-literacy-u04-l06,Correction and reflection,identifying a trusted adult
25,25,5,1,ma-g4-financial-literacy-u05-l01,Launch and diagnostic,how advertising works
26,26,5,2,ma-g4-financial-literacy-u05-l02,Explicit model,persuasion techniques
27,27,5,3,ma-g4-financial-literacy-u05-l03,Guided practice,borrowing and paying back
28,28,5,4,ma-g4-financial-literacy-u05-l04,Application or project,interest as the cost of borrowing
29,29,5,5,ma-g4-financial-literacy-u05-l05,Mastery check,recognizing scams and pressure
30,30,5,6,ma-g4-financial-literacy-u05-l06,Correction and reflection,giving and community support
31,31,6,1,ma-g4-financial-literacy-u06-l01,Launch and diagnostic,a product or service idea
32,32,6,2,ma-g4-financial-literacy-u06-l02,Explicit model,simulated costs and pricing
33,33,6,3,ma-g4-financial-literacy-u06-l03,Guided practice,a simulated operating budget
34,34,6,4,ma-g4-financial-literacy-u06-l04,Application or project,telling customers the truth
35,35,6,5,ma-g4-financial-literacy-u06-l05,Mastery check,keeping simulated records
36,36,6,6,ma-g4-financial-literacy-u06-l06,Correction and reflection,reflection and a giving choice
