lesson_id,course_id,grade,subject,course_day,unit_number,unit_title,day_in_unit,title,phase,focus,standards,evidence_mode,assessed,text_id
ma-g3-english-language-arts-u01-l01,ma-g3-english-language-arts,3,english-language-arts,1,1,"Readers and Writers Begin: Habits, Print, and Sentences",1,"Launch and baseline: what strong readers and writers do, and a no-penalty baseline",Launch and baseline,"what strong readers and writers do, and a no-penalty baseline",3.RL.1;3.RI.1;3.SL.1,guided,no,g3-text-01
ma-g3-english-language-arts-u01-l02,ma-g3-english-language-arts,3,english-language-arts,2,1,"Readers and Writers Begin: Habits, Print, and Sentences",2,Word work and decoding focus: hearing syllables and finding known parts inside longer words,Word work and decoding focus,hearing syllables and finding known parts inside longer words,3.RF.3,guided,no,g3-text-02
ma-g3-english-language-arts-u01-l03,ma-g3-english-language-arts,3,english-language-arts,3,1,"Readers and Writers Begin: Habits, Print, and Sentences",3,Explicit model A: asking questions the words on the page can answer,Explicit model A,asking questions the words on the page can answer,3.RL.1;3.RI.1,guided,no,g3-text-01
ma-g3-english-language-arts-u01-l04,ma-g3-english-language-arts,3,english-language-arts,4,1,"Readers and Writers Begin: Habits, Print, and Sentences",4,Guided practice A: answering by pointing to the exact sentence that proves it,Guided practice A,answering by pointing to the exact sentence that proves it,3.RL.1;3.RI.1,guided,no,g3-text-02
ma-g3-english-language-arts-u01-l05,ma-g3-english-language-arts,3,english-language-arts,5,1,"Readers and Writers Begin: Habits, Print, and Sentences",5,Fluency and rereading practice: reading a short passage smoothly and rereading the line that slowed you down,Fluency and rereading practice,reading a short passage smoothly and rereading the line that slowed you down,3.RF.4,guided,no,g3-text-01
ma-g3-english-language-arts-u01-l06,ma-g3-english-language-arts,3,english-language-arts,6,1,"Readers and Writers Begin: Habits, Print, and Sentences",6,Independent application A: reading a new short passage and recording one question and one proved answer,Independent application A,reading a new short passage and recording one question and one proved answer,3.RL.1;3.RF.4,independent,no,g3-text-02
ma-g3-english-language-arts-u01-l07,ma-g3-english-language-arts,3,english-language-arts,7,1,"Readers and Writers Begin: Habits, Print, and Sentences",7,Explicit model B: what a complete sentence needs: a naming part and an action part,Explicit model B,what a complete sentence needs: a naming part and an action part,3.L.1,guided,no,g3-text-01
ma-g3-english-language-arts-u01-l08,ma-g3-english-language-arts,3,english-language-arts,8,1,"Readers and Writers Begin: Habits, Print, and Sentences",8,Guided practice B: turning a two-word answer into a full sentence that stands alone,Guided practice B,turning a two-word answer into a full sentence that stands alone,3.L.1;3.SL.6,guided,no,g3-text-02
ma-g3-english-language-arts-u01-l09,ma-g3-english-language-arts,3,english-language-arts,9,1,"Readers and Writers Begin: Habits, Print, and Sentences",9,"Shared close reading: reading one original passage together for who, what, where, and when",Shared close reading,"reading one original passage together for who, what, where, and when",3.RL.1;3.RI.1,guided,no,g3-text-01
ma-g3-english-language-arts-u01-l10,ma-g3-english-language-arts,3,english-language-arts,10,1,"Readers and Writers Begin: Habits, Print, and Sentences",10,Reteach and varied practice: fixing answers that sound right but do not point to the text,Reteach and varied practice,fixing answers that sound right but do not point to the text,3.RL.1;3.RI.1,guided,no,g3-text-02
ma-g3-english-language-arts-u01-l11,ma-g3-english-language-arts,3,english-language-arts,11,1,"Readers and Writers Begin: Habits, Print, and Sentences",11,"Vocabulary and language study: capital letters, end marks, and reading a sentence aloud to check it",Vocabulary and language study,"capital letters, end marks, and reading a sentence aloud to check it",3.L.2;3.L.1,guided,no,g3-text-01
ma-g3-english-language-arts-u01-l12,ma-g3-english-language-arts,3,english-language-arts,12,1,"Readers and Writers Begin: Habits, Print, and Sentences",12,Writing plan and draft: planning three sentences about one reading habit that helps you,Writing plan and draft,planning three sentences about one reading habit that helps you,3.W.10;3.L.1,guided,no,learner-produced
ma-g3-english-language-arts-u01-l13,ma-g3-english-language-arts,3,english-language-arts,13,1,"Readers and Writers Begin: Habits, Print, and Sentences",13,Writing revise and edit: revising for one clear idea and editing every end mark,Writing revise and edit,revising for one clear idea and editing every end mark,3.W.10;3.L.2,guided,no,learner-produced
ma-g3-english-language-arts-u01-l14,ma-g3-english-language-arts,3,english-language-arts,14,1,"Readers and Writers Begin: Habits, Print, and Sentences",14,"Talk and listening practice: discussion norms: listen, wait, build on, and disagree kindly",Talk and listening practice,"discussion norms: listen, wait, build on, and disagree kindly",3.SL.1;3.SL.6,guided,no,g3-text-02
ma-g3-english-language-arts-u01-l15,ma-g3-english-language-arts,3,english-language-arts,15,1,"Readers and Writers Begin: Habits, Print, and Sentences",15,Skill consolidation and retrieval: retrieving the unit's reading moves and sentence moves together,Skill consolidation and retrieval,retrieving the unit's reading moves and sentence moves together,3.RL.1;3.RI.1;3.L.1,independent,no,g3-text-01
ma-g3-english-language-arts-u01-l16,ma-g3-english-language-arts,3,english-language-arts,16,1,"Readers and Writers Begin: Habits, Print, and Sentences",16,Transfer to a new text: using the same moves on an unfamiliar informational passage,Transfer to a new text,using the same moves on an unfamiliar informational passage,3.RI.1;3.RF.4,independent,no,g3-text-02
