week,course_day,unit_number,day_in_unit,lesson_id,phase,focus
1,1,1,1,ma-g3-ready-for-life-u01-l01,Launch and diagnostic,why our spaces matter
2,2,1,2,ma-g3-ready-for-life-u01-l02,Explicit model,the five-minute tidy
3,3,1,3,ma-g3-ready-for-life-u01-l03,Guided practice,everything has a home
4,4,1,4,ma-g3-ready-for-life-u01-l04,Application or project,spotting unsafe items
5,5,1,5,ma-g3-ready-for-life-u01-l05,Mastery check,right-size jobs
6,6,1,6,ma-g3-ready-for-life-u01-l06,Correction and reflection,finishing the whole job
7,7,2,1,ma-g3-ready-for-life-u02-l01,Launch and diagnostic,sorting clean from dirty
8,8,2,2,ma-g3-ready-for-life-u02-l02,Explicit model,sorting lights and darks
9,9,2,3,ma-g3-ready-for-life-u02-l03,Guided practice,reading a care tag
10,10,2,4,ma-g3-ready-for-life-u02-l04,Application or project,folding and hanging
11,11,2,5,ma-g3-ready-for-life-u02-l05,Mastery check,getting ready the night before
12,12,2,6,ma-g3-ready-for-life-u02-l06,Correction and reflection,putting clothes away
13,13,3,1,ma-g3-ready-for-life-u03-l01,Launch and diagnostic,washing hands all the way
14,14,3,2,ma-g3-ready-for-life-u03-l02,Explicit model,the kitchen reset
15,15,3,3,ma-g3-ready-for-life-u03-l03,Guided practice,keeping raw food separate
16,16,3,4,ma-g3-ready-for-life-u03-l04,Application or project,helper tools and adult-only tools
17,17,3,5,ma-g3-ready-for-life-u03-l05,Mastery check,a simple no-heat snack
18,18,3,6,ma-g3-ready-for-life-u03-l06,Correction and reflection,wiping up and putting away
19,19,4,1,ma-g3-ready-for-life-u04-l01,Launch and diagnostic,noticing body signals
20,20,4,2,ma-g3-ready-for-life-u04-l02,Explicit model,naming a signal kindly
21,21,4,3,ma-g3-ready-for-life-u04-l03,Guided practice,drinking water across the day
22,22,4,4,ma-g3-ready-for-life-u04-l04,Application or project,eating a variety of foods
23,23,4,5,ma-g3-ready-for-life-u04-l05,Mastery check,sleep and rest as fuel
24,24,4,6,ma-g3-ready-for-life-u04-l06,Correction and reflection,asking an adult about a signal
25,25,5,1,ma-g3-ready-for-life-u05-l01,Launch and diagnostic,reading a daily schedule
26,26,5,2,ma-g3-ready-for-life-u05-l02,Explicit model,packing a bag ahead
27,27,5,3,ma-g3-ready-for-life-u05-l03,Guided practice,tracking borrowed things
28,28,5,4,ma-g3-ready-for-life-u05-l04,Application or project,putting things back
29,29,5,5,ma-g3-ready-for-life-u05-l05,Mastery check,asking for help clearly
30,30,5,6,ma-g3-ready-for-life-u05-l06,Correction and reflection,repairing a forgotten job
31,31,6,1,ma-g3-ready-for-life-u06-l01,Launch and diagnostic,choosing a helper job
32,32,6,2,ma-g3-ready-for-life-u06-l02,Explicit model,listing steps and materials
33,33,6,3,ma-g3-ready-for-life-u06-l03,Guided practice,checking safety and supervision
34,34,6,4,ma-g3-ready-for-life-u06-l04,Application or project,doing the helper job
35,35,6,5,ma-g3-ready-for-life-u06-l05,Mastery check,checking the result
36,36,6,6,ma-g3-ready-for-life-u06-l06,Correction and reflection,reflecting without shame
