mapping_number,protected_lesson_id,course_ref,generator_family_before,protected_classification,summative,exposing_worked_examples_before,before_equivalence,after_equivalence,exposed_after,generated_learner_package,adult_scoring_guide,after_package_sha256,after_scoring_guide_sha256
1,ma-g10-technology-u01-l03,ma-g10-technology,DATA_AGGREGATION,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g10-technology-u01-l02|ma-g10-technology-u03-l02|ma-g10-technology-u06-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u01-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u01-l03.scoring-guide.json,e2de40d0c27f7f86df96f1e5394b2bbd11de6e159f1753a94c0307c25297cfe1,4e4a3da2586c3d2468262e81d64f5259d2fdd169138e5afb98d409b5dedec7ff
2,ma-g10-technology-u02-l01,ma-g10-technology,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g10-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u02-l01.scoring-guide.json,dd0f1c5feea2ce614c1c8e81ecb14148c61e0059640ae413296d54155a085f6a,d63ec0e4074b7e5931c1a23146ecdb7576476d00a45150d67427f4a607ad153b
3,ma-g10-technology-u02-l03,ma-g10-technology,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g10-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u02-l03.scoring-guide.json,3f79af982b4653eed1265840d62cb743c5bce079039bd0b22d230d2a0f2141d9,7be12bcfcb56569760ade66a6330a6a9da402abe148db354694a8f852b34d42c
4,ma-g10-technology-u02-l04,ma-g10-technology,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g10-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u02-l04.scoring-guide.json,4afd1aacc191a557747e117c43ef5fbd509932a7d7e5fb515ba3be15aca30577,0778b6829f9469da61adcb3b30a8a61024680c404e55e3425611c25f67487a54
5,ma-g10-technology-u02-l05,ma-g10-technology,ALGORITHM_INITIALIZATION,SUMMATIVE_SOLUTION_EXPOSURE,true,ma-g10-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u02-l05.scoring-guide.json,4fefda57ae939fe2c05ee3f3a125350f67a88cacba39b92495493141a7a4adc3,b903045fa6430dc2ba58f8bb8849a8dd15f1d1df4c02f031ee58519bcb6b503c
6,ma-g10-technology-u02-l06,ma-g10-technology,ALGORITHM_INITIALIZATION,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g10-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u02-l06.scoring-guide.json,24a5f2c4d0d90e0b2d60149ab7c26461c284588233fa80155ca41459ab4a1401,207b0038eba7d3154b717ec547835caf0922e7ad0d7c776c45227b394ef4aebe
7,ma-g10-technology-u03-l03,ma-g10-technology,DATA_AGGREGATION,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g10-technology-u01-l02|ma-g10-technology-u03-l02|ma-g10-technology-u06-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u03-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-10/ma-g10-technology-u03-l03.scoring-guide.json,ee894e119cb1a77781a6043119723d998d59a7754ffebc6d3da68cc5eb13576e,f0a40d668861f6d7307d3c317652a881dace3348381ac6d25187e6c295b64996
8,ma-g11-technology-u01-l03,ma-g11-technology,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g11-technology-u01-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u01-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u01-l03.scoring-guide.json,73450a94f1314e7718389038277aedffd8559b750e9c4a163f5bdbcaba7d42b8,2b493a2e3a4bf9282fe70cef63e80068db5d2265c0f1db7a03e426b7a9706dad
9,ma-g11-technology-u02-l01,ma-g11-technology,OBJECT_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g11-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u02-l01.scoring-guide.json,24bea209687b4b8a76d4ec1872e104cda27ab2002829792c7d91139b6a83c8c7,04f5a9b6a12a9581fb0832fc8df954850a49d280cf3b837f1e609cd72f861082
10,ma-g11-technology-u02-l03,ma-g11-technology,OBJECT_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,false,ma-g11-technology-u02-l02,MATERIAL_EQUIVALENT_STARTER_DEFECT_REPAIR,ANALOGOUS_CONCEPT_MATERIALLY_DISTINCT_FIXTURE,false,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-11/ma-g11-technology-u02-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-11/ma-g11-technology-u02-l03.scoring-guide.json,2033ad3330f81e8d2df27423cbed428da96499b853c08a95e33f5e060008765b,a2a2c91764bd4df0e295b806ce8b07219aed74903a84aaa6b7c04f756feaff45
