course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
1,1,1,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l01,Launch and diagnostic,determining where a text leaves matters uncertain
2,1,2,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l02,Concept model A,two or more themes interacting and building
3,1,3,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l03,Guided practice A,evidence that supports a complex account
4,1,4,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l04,Independent application A,interpretive restraint under ambiguity
5,1,5,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l05,Concept model B,"civil, democratic discussion practice"
6,2,1,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l06,Guided practice B,preparation and research before seminar
7,2,2,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l07,Investigation or close reading,determining where a text leaves matters uncertain
8,2,3,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l08,Reteach and varied practice,two or more themes interacting and building
9,2,4,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l09,Concept model C,evidence that supports a complex account
10,2,5,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l10,Discussion or problem seminar,interpretive restraint under ambiguity
11,3,1,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l11,Performance task planning,"civil, democratic discussion practice"
12,3,2,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l12,Performance task build,preparation and research before seminar
13,3,3,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l13,Skill consolidation,determining where a text leaves matters uncertain
14,3,4,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l14,Transfer challenge,two or more themes interacting and building
15,3,5,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l15,Assessment preparation,evidence that supports a complex account
16,4,1,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l16,Unit assessment,interpretive restraint under ambiguity
17,4,2,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l17,Targeted correction,"civil, democratic discussion practice"
18,4,3,1,"Uncertainty, Ambiguity, and Rigorous Evidence",ma-g11-english-language-arts-u01-l18,"Publication, presentation, or reflection",preparation and research before seminar
19,4,4,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l01,Launch and diagnostic,eighteenth-century foundational works of American literature
20,4,5,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l02,Concept model A,The Declaration of Independence and the Preamble
21,5,1,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l03,Guided practice A,the Bill of Rights and period documents
22,5,2,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l04,Independent application A,"themes, purposes, and rhetorical features"
23,5,3,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l05,Concept model B,two texts from one period on a shared topic
24,5,4,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l06,Guided practice B,synthesizing claims made on all sides
25,5,5,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l07,Investigation or close reading,eighteenth-century foundational works of American literature
26,6,1,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l08,Reteach and varied practice,The Declaration of Independence and the Preamble
27,6,2,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l09,Concept model C,the Bill of Rights and period documents
28,6,3,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l10,Discussion or problem seminar,"themes, purposes, and rhetorical features"
29,6,4,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l11,Performance task planning,two texts from one period on a shared topic
30,6,5,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l12,Performance task build,synthesizing claims made on all sides
31,7,1,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l13,Skill consolidation,eighteenth-century foundational works of American literature
32,7,2,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l14,Transfer challenge,The Declaration of Independence and the Preamble
33,7,3,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l15,Assessment preparation,the Bill of Rights and period documents
34,7,4,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l16,Unit assessment,"themes, purposes, and rhetorical features"
35,7,5,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l17,Targeted correction,two texts from one period on a shared topic
36,8,1,2,American Foundations: Colonial Through Early Republic,ma-g11-english-language-arts-u02-l18,"Publication, presentation, or reflection",synthesizing claims made on all sides
37,8,2,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l01,Launch and diagnostic,application of constitutional principles
38,8,3,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l02,Concept model A,majority opinions and dissents
39,8,4,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l03,Guided practice A,premises and purposes in works of public advocacy
40,8,5,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l04,Independent application A,how an author refines a key term over a text
41,9,1,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l05,Concept model B,whether a structure makes points convincing
42,9,2,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l06,Guided practice B,"a speaker's stance, premises, and links among ideas"
43,9,3,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l07,Investigation or close reading,application of constitutional principles
44,9,4,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l08,Reteach and varied practice,majority opinions and dissents
45,9,5,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l09,Concept model C,premises and purposes in works of public advocacy
46,10,1,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l10,Discussion or problem seminar,how an author refines a key term over a text
47,10,2,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l11,Performance task planning,whether a structure makes points convincing
48,10,3,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l12,Performance task build,"a speaker's stance, premises, and links among ideas"
49,10,4,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l13,Skill consolidation,application of constitutional principles
50,10,5,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l14,Transfer challenge,majority opinions and dissents
51,11,1,3,Legal Reasoning and Public Advocacy,ma-g11-english-language-arts-u03-l15,Assessment preparation,premises and purposes in works of public advocacy
