lesson_id,course_id,grade,subject,course_day,unit_number,unit_title,day_in_unit,title,phase,focus,evidence_type,standards
ma-g3-mathematics-u01-l01,ma-g3-mathematics,3,mathematics,1,1,"Mathematical Habits, Place Value, and Rounding",1,Launch and diagnostic: making sense of unfamiliar problems,Launch and diagnostic,making sense of unfamiliar problems,instruction,MP.1;MP.3
ma-g3-mathematics-u01-l02,ma-g3-mathematics,3,mathematics,2,1,"Mathematical Habits, Place Value, and Rounding",2,Concept build A: the place-value structure of three-digit numbers,Concept build A,the place-value structure of three-digit numbers,instruction,3.NBT.1;MP.6;MP.7
ma-g3-mathematics-u01-l03,ma-g3-mathematics,3,mathematics,3,1,"Mathematical Habits, Place Value, and Rounding",3,Concept build B: locating three-digit numbers on an open number line,Concept build B,locating three-digit numbers on an open number line,instruction,3.NBT.1;MP.6
ma-g3-mathematics-u01-l04,ma-g3-mathematics,3,mathematics,4,1,"Mathematical Habits, Place Value, and Rounding",4,Guided practice A: rounding to the nearest ten,Guided practice A,rounding to the nearest ten,guided-practice,3.NBT.1
ma-g3-mathematics-u01-l05,ma-g3-mathematics,3,mathematics,5,1,"Mathematical Habits, Place Value, and Rounding",5,Independent evidence A: rounding to the nearest hundred,Independent evidence A,rounding to the nearest hundred,independent-evidence,3.NBT.1
ma-g3-mathematics-u01-l06,ma-g3-mathematics,3,mathematics,6,1,"Mathematical Habits, Place Value, and Rounding",6,"Concept build C: addition within 1,000 by decomposing place values",Concept build C,"addition within 1,000 by decomposing place values",instruction,3.NBT.2;MP.6
ma-g3-mathematics-u01-l07,ma-g3-mathematics,3,mathematics,7,1,"Mathematical Habits, Place Value, and Rounding",7,Guided practice B: addition with regrouping across place values,Guided practice B,addition with regrouping across place values,guided-practice,3.NBT.2
ma-g3-mathematics-u01-l08,ma-g3-mathematics,3,mathematics,8,1,"Mathematical Habits, Place Value, and Rounding",8,Error analysis and repair: regrouping errors in written addition,Error analysis and repair,regrouping errors in written addition,guided-practice,3.NBT.2;MP.3
ma-g3-mathematics-u01-l09,ma-g3-mathematics,3,mathematics,9,1,"Mathematical Habits, Place Value, and Rounding",9,"Retrieval and fluency: addition within 1,000",Retrieval and fluency,"addition within 1,000",retrieval,3.NBT.2
ma-g3-mathematics-u01-l10,ma-g3-mathematics,3,mathematics,10,1,"Mathematical Habits, Place Value, and Rounding",10,"Independent evidence B: subtraction within 1,000 by decomposing place values",Independent evidence B,"subtraction within 1,000 by decomposing place values",independent-evidence,3.NBT.2
ma-g3-mathematics-u01-l11,ma-g3-mathematics,3,mathematics,11,1,"Mathematical Habits, Place Value, and Rounding",11,Concept extension: subtraction with regrouping across zeros,Concept extension,subtraction with regrouping across zeros,instruction,3.NBT.2;MP.1
ma-g3-mathematics-u01-l12,ma-g3-mathematics,3,mathematics,12,1,"Mathematical Habits, Place Value, and Rounding",12,Applied problem solving: choosing between an exact answer and an estimate,Applied problem solving,choosing between an exact answer and an estimate,independent-evidence,3.NBT.1;3.NBT.2;MP.3
ma-g3-mathematics-u01-l13,ma-g3-mathematics,3,mathematics,13,1,"Mathematical Habits, Place Value, and Rounding",13,Performance task: plan: the Number Sense Toolkit,Performance task: plan,the Number Sense Toolkit,project,3.NBT.1;3.NBT.2;MP.1
ma-g3-mathematics-u01-l14,ma-g3-mathematics,3,mathematics,14,1,"Mathematical Habits, Place Value, and Rounding",14,Performance task: build: worked examples with reasonableness checks,Performance task: build,worked examples with reasonableness checks,project,3.NBT.1;3.NBT.2;MP.3
ma-g3-mathematics-u01-l15,ma-g3-mathematics,3,mathematics,15,1,"Mathematical Habits, Place Value, and Rounding",15,"Synthesis and review: place value, rounding, addition, and subtraction",Synthesis and review,"place value, rounding, addition, and subtraction",retrieval,3.NBT.1;3.NBT.2
ma-g3-mathematics-u01-l16,ma-g3-mathematics,3,mathematics,16,1,"Mathematical Habits, Place Value, and Rounding",16,"Unit assessment: rounding and computation within 1,000",Unit assessment,"rounding and computation within 1,000",assessment,3.NBT.1;3.NBT.2;MP.3;MP.6
ma-g3-mathematics-u01-l17,ma-g3-mathematics,3,mathematics,17,1,"Mathematical Habits, Place Value, and Rounding",17,Targeted correction and reassessment: rounding and regrouping,Targeted correction and reassessment,rounding and regrouping,reassessment,3.NBT.1;3.NBT.2
ma-g3-mathematics-u01-l18,ma-g3-mathematics,3,mathematics,18,1,"Mathematical Habits, Place Value, and Rounding",18,"Transfer, reflection, and publication: estimating and checking in everyday situations","Transfer, reflection, and publication",estimating and checking in everyday situations,independent-evidence,3.NBT.1;MP.1;MP.4
ma-g3-mathematics-u02-l01,ma-g3-mathematics,3,mathematics,19,2,Meanings of Multiplication and Division,1,Launch and diagnostic: noticing equal groups in everyday situations,Launch and diagnostic,noticing equal groups in everyday situations,instruction,3.OA.1;MP.1
ma-g3-mathematics-u02-l02,ma-g3-mathematics,3,mathematics,20,2,Meanings of Multiplication and Division,2,Concept build A: multiplication as a count of equal groups,Concept build A,multiplication as a count of equal groups,instruction,3.OA.1
ma-g3-mathematics-u02-l03,ma-g3-mathematics,3,mathematics,21,2,Meanings of Multiplication and Division,3,"Concept build B: arrays, rows, and columns as multiplication models",Concept build B,"arrays, rows, and columns as multiplication models",instruction,3.OA.1;MP.6
ma-g3-mathematics-u02-l04,ma-g3-mathematics,3,mathematics,22,2,Meanings of Multiplication and Division,4,Guided practice A: writing multiplication equations from models,Guided practice A,writing multiplication equations from models,guided-practice,3.OA.1
ma-g3-mathematics-u02-l05,ma-g3-mathematics,3,mathematics,23,2,Meanings of Multiplication and Division,5,Independent evidence A: interpreting products in context,Independent evidence A,interpreting products in context,independent-evidence,3.OA.1
ma-g3-mathematics-u02-l06,ma-g3-mathematics,3,mathematics,24,2,Meanings of Multiplication and Division,6,Concept build C: division as sharing a total into equal groups,Concept build C,division as sharing a total into equal groups,instruction,3.OA.2
ma-g3-mathematics-u02-l07,ma-g3-mathematics,3,mathematics,25,2,Meanings of Multiplication and Division,7,Guided practice B: division as measuring out groups of a known size,Guided practice B,division as measuring out groups of a known size,guided-practice,3.OA.2
ma-g3-mathematics-u02-l08,ma-g3-mathematics,3,mathematics,26,2,Meanings of Multiplication and Division,8,Error analysis and repair: group-size versus group-count errors,Error analysis and repair,group-size versus group-count errors,guided-practice,3.OA.1;3.OA.2;3.OA.3;MP.3
ma-g3-mathematics-u02-l09,ma-g3-mathematics,3,mathematics,27,2,Meanings of Multiplication and Division,9,Retrieval and fluency: equal-group models,Retrieval and fluency,equal-group models,retrieval,3.OA.1;3.OA.2
ma-g3-mathematics-u02-l10,ma-g3-mathematics,3,mathematics,28,2,Meanings of Multiplication and Division,10,Independent evidence B: solving multiplication and division word problems within 100,Independent evidence B,solving multiplication and division word problems within 100,independent-evidence,3.OA.2;3.OA.3
ma-g3-mathematics-u02-l11,ma-g3-mathematics,3,mathematics,29,2,Meanings of Multiplication and Division,11,Concept extension: unknown-factor problems and fact families,Concept extension,unknown-factor problems and fact families,instruction,3.OA.4;3.OA.6
ma-g3-mathematics-u02-l12,ma-g3-mathematics,3,mathematics,30,2,Meanings of Multiplication and Division,12,Applied problem solving: multiplication and division as inverse operations,Applied problem solving,multiplication and division as inverse operations,independent-evidence,3.OA.6
ma-g3-mathematics-u02-l13,ma-g3-mathematics,3,mathematics,31,2,Meanings of Multiplication and Division,13,Performance task: plan: the Equal Groups Museum,Performance task: plan,the Equal Groups Museum,project,3.OA.1;3.OA.2;MP.4
ma-g3-mathematics-u02-l14,ma-g3-mathematics,3,mathematics,32,2,Meanings of Multiplication and Division,14,Performance task: build: exhibits with matched models and equations,Performance task: build,exhibits with matched models and equations,project,3.OA.1;3.OA.2;3.OA.3
ma-g3-mathematics-u02-l15,ma-g3-mathematics,3,mathematics,33,2,Meanings of Multiplication and Division,15,Synthesis and review: operation meanings and relationships,Synthesis and review,operation meanings and relationships,retrieval,3.OA.1;3.OA.2;3.OA.6
ma-g3-mathematics-u02-l16,ma-g3-mathematics,3,mathematics,34,2,Meanings of Multiplication and Division,16,Unit assessment: meanings of multiplication and division,Unit assessment,meanings of multiplication and division,assessment,3.OA.1;3.OA.2;3.OA.3;3.OA.6
ma-g3-mathematics-u02-l17,ma-g3-mathematics,3,mathematics,35,2,Meanings of Multiplication and Division,17,Targeted correction and reassessment: operation meaning,Targeted correction and reassessment,operation meaning,reassessment,3.OA.1;3.OA.2;3.OA.3
ma-g3-mathematics-u02-l18,ma-g3-mathematics,3,mathematics,36,2,Meanings of Multiplication and Division,18,"Transfer, reflection, and publication: choosing an operation for a new situation","Transfer, reflection, and publication",choosing an operation for a new situation,independent-evidence,3.OA.3;MP.1;MP.4
ma-g3-mathematics-u03-l01,ma-g3-mathematics,3,mathematics,37,3,Multiplication and Division Fluency Within 100,1,Launch and diagnostic: what it means for a fact to be known rather than counted,Launch and diagnostic,what it means for a fact to be known rather than counted,instruction,3.OA.7;MP.1
ma-g3-mathematics-u03-l02,ma-g3-mathematics,3,mathematics,38,3,Multiplication and Division Fluency Within 100,2,"Concept build A: doubling and the twos, fours, and eights chain",Concept build A,"doubling and the twos, fours, and eights chain",instruction,3.OA.5;3.OA.7
ma-g3-mathematics-u03-l03,ma-g3-mathematics,3,mathematics,39,3,Multiplication and Division Fluency Within 100,3,Concept build B: fives and tens from place-value patterns,Concept build B,fives and tens from place-value patterns,instruction,3.OA.5;3.OA.7
ma-g3-mathematics-u03-l04,ma-g3-mathematics,3,mathematics,40,3,Multiplication and Division Fluency Within 100,4,Guided practice A: using the commutative property to halve the fact load,Guided practice A,using the commutative property to halve the fact load,guided-practice,3.OA.5
ma-g3-mathematics-u03-l05,ma-g3-mathematics,3,mathematics,41,3,Multiplication and Division Fluency Within 100,5,Independent evidence A: deriving threes and sixes from known facts,Independent evidence A,deriving threes and sixes from known facts,independent-evidence,3.OA.5;3.OA.7
ma-g3-mathematics-u03-l06,ma-g3-mathematics,3,mathematics,42,3,Multiplication and Division Fluency Within 100,6,Concept build C: the distributive property: breaking a factor apart,Concept build C,the distributive property: breaking a factor apart,instruction,3.OA.5;MP.7
ma-g3-mathematics-u03-l07,ma-g3-mathematics,3,mathematics,43,3,Multiplication and Division Fluency Within 100,7,Guided practice B: sevens and nines using break-apart strategies,Guided practice B,sevens and nines using break-apart strategies,guided-practice,3.OA.5;3.OA.7
ma-g3-mathematics-u03-l08,ma-g3-mathematics,3,mathematics,44,3,Multiplication and Division Fluency Within 100,8,Error analysis and repair: near-miss and skip-counting errors,Error analysis and repair,near-miss and skip-counting errors,guided-practice,3.OA.7;MP.3
ma-g3-mathematics-u03-l09,ma-g3-mathematics,3,mathematics,45,3,Multiplication and Division Fluency Within 100,9,Retrieval and fluency: mixed products within 100,Retrieval and fluency,mixed products within 100,retrieval,3.OA.7
ma-g3-mathematics-u03-l10,ma-g3-mathematics,3,mathematics,46,3,Multiplication and Division Fluency Within 100,10,Independent evidence B: solving unknown-factor equations,Independent evidence B,solving unknown-factor equations,independent-evidence,3.OA.4;3.OA.6
ma-g3-mathematics-u03-l11,ma-g3-mathematics,3,mathematics,47,3,Multiplication and Division Fluency Within 100,11,Concept extension: multiplying one-digit numbers by multiples of ten,Concept extension,multiplying one-digit numbers by multiples of ten,instruction,3.OA.5;3.NBT.3
ma-g3-mathematics-u03-l12,ma-g3-mathematics,3,mathematics,48,3,Multiplication and Division Fluency Within 100,12,Applied problem solving: division facts derived from related multiplication,Applied problem solving,division facts derived from related multiplication,independent-evidence,3.OA.6;3.OA.7
ma-g3-mathematics-u03-l13,ma-g3-mathematics,3,mathematics,49,3,Multiplication and Division Fluency Within 100,13,Performance task: plan: the fact-strategy deck,Performance task: plan,the fact-strategy deck,project,3.OA.5;3.OA.7;MP.4
ma-g3-mathematics-u03-l14,ma-g3-mathematics,3,mathematics,50,3,Multiplication and Division Fluency Within 100,14,Performance task: build: strategy cards with models and checks,Performance task: build,strategy cards with models and checks,project,3.OA.5;3.OA.7
ma-g3-mathematics-u03-l15,ma-g3-mathematics,3,mathematics,51,3,Multiplication and Division Fluency Within 100,15,Synthesis and review: choosing an efficient strategy,Synthesis and review,choosing an efficient strategy,retrieval,3.OA.5;3.OA.7;3.NBT.3
ma-g3-mathematics-u03-l16,ma-g3-mathematics,3,mathematics,52,3,Multiplication and Division Fluency Within 100,16,"Unit assessment: fluency, strategy, and explanation",Unit assessment,"fluency, strategy, and explanation",assessment,3.OA.4;3.OA.5;3.OA.6;3.OA.7;3.NBT.3
ma-g3-mathematics-u03-l17,ma-g3-mathematics,3,mathematics,53,3,Multiplication and Division Fluency Within 100,17,Targeted correction and reassessment: unsecured facts,Targeted correction and reassessment,unsecured facts,reassessment,3.OA.6;3.OA.7
ma-g3-mathematics-u03-l18,ma-g3-mathematics,3,mathematics,54,3,Multiplication and Division Fluency Within 100,18,"Transfer, reflection, and publication: accuracy and flexibility without speed pressure","Transfer, reflection, and publication",accuracy and flexibility without speed pressure,independent-evidence,3.OA.7;MP.6
ma-g3-mathematics-u04-l01,ma-g3-mathematics,3,mathematics,55,4,"Properties, Patterns, and Two-Step Problems",1,Launch and diagnostic: recognizing problems that hide a second step,Launch and diagnostic,recognizing problems that hide a second step,instruction,3.OA.8;MP.1
ma-g3-mathematics-u04-l02,ma-g3-mathematics,3,mathematics,56,4,"Properties, Patterns, and Two-Step Problems",2,Concept build A: representing two-step problems with bar models,Concept build A,representing two-step problems with bar models,instruction,3.OA.8
ma-g3-mathematics-u04-l03,ma-g3-mathematics,3,mathematics,57,4,"Properties, Patterns, and Two-Step Problems",3,Concept build B: writing equations with a letter for the unknown quantity,Concept build B,writing equations with a letter for the unknown quantity,instruction,3.OA.8
ma-g3-mathematics-u04-l04,ma-g3-mathematics,3,mathematics,58,4,"Properties, Patterns, and Two-Step Problems",4,Guided practice A: order of operations inside two-step situations,Guided practice A,order of operations inside two-step situations,guided-practice,3.OA.8;MP.6
ma-g3-mathematics-u04-l05,ma-g3-mathematics,3,mathematics,59,4,"Properties, Patterns, and Two-Step Problems",5,Independent evidence A: two-step problems combining addition and multiplication,Independent evidence A,two-step problems combining addition and multiplication,independent-evidence,3.OA.8
ma-g3-mathematics-u04-l06,ma-g3-mathematics,3,mathematics,60,4,"Properties, Patterns, and Two-Step Problems",6,Concept build C: estimation and mental strategies to test reasonableness,Concept build C,estimation and mental strategies to test reasonableness,instruction,3.OA.8;MP.3
ma-g3-mathematics-u04-l07,ma-g3-mathematics,3,mathematics,61,4,"Properties, Patterns, and Two-Step Problems",7,Guided practice B: two-step problems combining subtraction and division,Guided practice B,two-step problems combining subtraction and division,guided-practice,3.OA.8
ma-g3-mathematics-u04-l08,ma-g3-mathematics,3,mathematics,62,4,"Properties, Patterns, and Two-Step Problems",8,Error analysis and repair: stopped-at-step-one errors,Error analysis and repair,stopped-at-step-one errors,guided-practice,3.OA.8;MP.3
ma-g3-mathematics-u04-l09,ma-g3-mathematics,3,mathematics,63,4,"Properties, Patterns, and Two-Step Problems",9,Retrieval and fluency: facts embedded in multi-step work,Retrieval and fluency,facts embedded in multi-step work,retrieval,3.OA.7;3.OA.8
ma-g3-mathematics-u04-l10,ma-g3-mathematics,3,mathematics,64,4,"Properties, Patterns, and Two-Step Problems",10,Independent evidence B: two-step problems across all four operations,Independent evidence B,two-step problems across all four operations,independent-evidence,3.OA.8
ma-g3-mathematics-u04-l11,ma-g3-mathematics,3,mathematics,65,4,"Properties, Patterns, and Two-Step Problems",11,Concept extension: patterns in the addition and multiplication tables,Concept extension,patterns in the addition and multiplication tables,instruction,3.OA.9
ma-g3-mathematics-u04-l12,ma-g3-mathematics,3,mathematics,66,4,"Properties, Patterns, and Two-Step Problems",12,Applied problem solving: explaining patterns using properties and multiples of ten,Applied problem solving,explaining patterns using properties and multiples of ten,independent-evidence,3.OA.5;3.OA.9;3.NBT.3
ma-g3-mathematics-u04-l13,ma-g3-mathematics,3,mathematics,67,4,"Properties, Patterns, and Two-Step Problems",13,Performance task: plan: the two-step event problem set,Performance task: plan,the two-step event problem set,project,3.OA.8;MP.4
