lesson_id,course_id,grade,band,source_lineage,generator_family,unit_number,day_in_unit,phase,audit_type,work_type,focus,question_count,question_kinds,science_brief_rows,structured_vocabulary_field,worked_example_payload,brief_duplicates_evidence,data_bearing,primary_route_kind,model_data_rows,graph_interpretation_requested,engineering_focus,engineering_language,remediation_route_count,mastery_rule_present,expected_reasoning_present,student_visible_safety,hazard_count,safe_order_steps,stop_condition_count,supervision_level,correctness_authority_present,correctness_adult_only,adult_key_heading_on_learner_sheet,learner_sheet_words,safety_section_words,analysis_section_words,science_payload_hash,model_payload_hash,phase_direction,tutor_structured_fields_present
ma-g3-science-u01-l01,ma-g3-science,3,elementary,g34-committed,g34-k8-elementary,1,1,Launch and diagnostic,concept,STUDENT_WORK_SHEET,careful observations,7,ACTIVATE_PRIOR|COMMUNICATE_REPRESENTATION|CHECK_REVISE|ESSENTIAL_QUESTION|EVIDENCE_QUALITY|LIMITATION|PROVENANCE,3,False,False,True,False,BOUND_REFERENCE_EVIDENCE_TASK,0,False,False,True,6,True,True,True,0,0,8,none,True,True,False,2862,1008,252,dca08d1eeac96be8c4cc7f3b7cf43987394dc3d95d24f5b2a953dba6594b70ed,,"Write an initial explanation, then mark which evidence item would most strongly change it.",0
ma-g3-science-u01-l02,ma-g3-science,3,elementary,g34-committed,g34-k8-elementary,1,2,Concept model A,concept,STUDENT_WORK_SHEET,testable questions,7,MODEL_BUILD|COMMUNICATE_REPRESENTATION|CHECK_REVISE|ESSENTIAL_QUESTION|EVIDENCE_QUALITY|LIMITATION|PROVENANCE,3,False,False,True,False,BOUND_REFERENCE_EVIDENCE_TASK,0,False,False,True,6,True,True,True,0,0,8,none,True,True,False,2851,1008,248,613cf522b81414e6e23929836a7990c2d79960fe0d57a97b5e8d71fcd74551ff,,Build a labelled model that includes every accepted relationship in the science brief and test it against the case claim.,0
ma-g3-science-u01-l03,ma-g3-science,3,elementary,g34-committed,g34-k8-elementary,1,3,Guided practice A,concept,STUDENT_WORK_SHEET,models and drawings,7,GUIDED_PRACTICE|COMMUNICATE_REPRESENTATION|CHECK_REVISE|ESSENTIAL_QUESTION|EVIDENCE_QUALITY|LIMITATION|PROVENANCE,3,False,False,True,False,BOUND_REFERENCE_EVIDENCE_TASK,0,False,False,True,6,True,True,True,0,0,8,none,True,True,False,2870,1008,250,40d9c2f65a71673f495d9bf94957ff928a4198ff4a667879dad70ee96db8608c,,Use E1 with E2 first; then add E3 and revise any conclusion that no longer fits.,0
ma-g3-science-u01-l04,ma-g3-science,3,elementary,g34-committed,g34-k8-elementary,1,4,Independent application A,mastery,STUDENT_WORK_SHEET,fair tests,7,APPLY_INDEPENDENT|COMMUNICATE_REPRESENTATION|CHECK_REVISE|ESSENTIAL_QUESTION|EVIDENCE_QUALITY|LIMITATION|PROVENANCE,4,False,False,True,False,BOUND_REFERENCE_EVIDENCE_TASK,0,False,False,True,6,True,True,True,0,0,8,none,True,True,False,2880,1008,264,8b1df3fc6c4187748b58336cebf01a1a9e0844ee7708e74ceceeda331bf0d6ed,,Evaluate the case claim independently using at least two evidence codes and one stated limitation.,0
ma-g3-science-u01-l05,ma-g3-science,3,elementary,g34-committed,g34-k8-elementary,1,5,Concept model B,concept,STUDENT_WORK_SHEET,measuring and recording data,7,MODEL_BUILD|COMMUNICATE_REPRESENTATION|CHECK_REVISE|ESSENTIAL_QUESTION|EVIDENCE_QUALITY|LIMITATION|PROVENANCE,4,False,False,True,False,BOUND_REFERENCE_EVIDENCE_TASK,0,False,False,True,6,True,True,True,0,0,8,none,True,True,False,2910,1008,262,a62c52988ecbea56fef025e4d3c15927830b0ebf10a15867a221da6e093dcef2,,Build a second representation of the same evidence and identify one feature the first model hid.,0
ma-g3-science-u01-l06,ma-g3-science,3,elementary,g34-committed,g34-k8-elementary,1,6,Guided practice B,concept,STUDENT_WORK_SHEET,criteria and constraints,7,GUIDED_PRACTICE|COMMUNICATE_REPRESENTATION|CHECK_REVISE|ESSENTIAL_QUESTION|EVIDENCE_QUALITY|LIMITATION|PROVENANCE,3,False,False,True,False,BOUND_REFERENCE_EVIDENCE_TASK,0,False,True,True,6,True,True,True,0,0,8,none,True,True,False,2846,1008,250,a6581b71e46108f5af6e1aa8279f7681213cabe921aad78cc3b1f4d063303a87,,"Sort all evidence as supports, challenges, or does not decide, and justify every placement.",0
ma-g3-science-u01-l07,ma-g3-science,3,elementary,g34-committed,g34-k8-elementary,1,7,Investigation or close reading,inquiry/investigation,INVESTIGATION_DATA_SHEET,careful observations,7,ANALYZE_EVIDENCE|COMMUNICATE_REPRESENTATION|CHECK_REVISE|ESSENTIAL_QUESTION|EVIDENCE_QUALITY|LIMITATION|PROVENANCE,3,False,False,True,True,DOCUMENT_INVESTIGATION,0,False,False,True,6,True,True,True,0,0,8,direct-adult,True,True,False,3307,1006,241,dca08d1eeac96be8c4cc7f3b7cf43987394dc3d95d24f5b2a953dba6594b70ed,,Carry out the document investigation in the stated order and record the evidence tally before writing a conclusion.,0
ma-g3-science-u01-l08,ma-g3-science,3,elementary,g34-committed,g34-k8-elementary,1,8,Reteach and varied practice,remediation,STUDENT_WORK_SHEET,testable questions,7,ERROR_ANALYSIS|COMMUNICATE_REPRESENTATION|CHECK_REVISE|ESSENTIAL_QUESTION|EVIDENCE_QUALITY|LIMITATION|PROVENANCE,3,False,False,True,False,BOUND_REFERENCE_EVIDENCE_TASK,0,False,False,True,6,True,True,True,0,0,8,none,True,True,False,2846,1008,244,613cf522b81414e6e23929836a7990c2d79960fe0d57a97b5e8d71fcd74551ff,,"Correct the candidate claim, explain the exact evidence that makes the correction necessary, and create one fresh example.",0
ma-g3-science-u01-l09,ma-g3-science,3,elementary,g34-committed,g34-k8-elementary,1,9,Performance task build,assessment/project,INVESTIGATION_DATA_SHEET,models and drawings,7,BUILD_PRODUCT|COMMUNICATE_REPRESENTATION|CHECK_REVISE|ESSENTIAL_QUESTION|EVIDENCE_QUALITY|LIMITATION|PROVENANCE,3,False,False,True,True,DOCUMENT_INVESTIGATION,0,False,False,True,6,True,True,True,0,0,8,direct-adult,True,True,False,3344,1006,258,40d9c2f65a71673f495d9bf94957ff928a4198ff4a667879dad70ee96db8608c,,Use the supplied record to build a claim-evidence-reasoning product that another reader can check line by line.,0
ma-g3-science-u01-l10,ma-g3-science,3,elementary,g34-committed,g34-k8-elementary,1,10,Synthesis and review,review,STUDENT_WORK_SHEET,fair tests,7,CONNECT_UNIT|COMMUNICATE_REPRESENTATION|CHECK_REVISE|ESSENTIAL_QUESTION|EVIDENCE_QUALITY|LIMITATION|PROVENANCE,4,False,False,True,False,BOUND_REFERENCE_EVIDENCE_TASK,0,False,False,True,6,True,True,True,0,0,8,none,True,True,False,2885,1008,264,8b1df3fc6c4187748b58336cebf01a1a9e0844ee7708e74ceceeda331bf0d6ed,,"Connect at least three evidence items, state the boundary of the conclusion, and answer the unit question.",0
