week,course_day,unit_number,day_in_unit,lesson_id,phase,focus
1,1,1,1,ma-g3-financial-literacy-u01-l01,Launch and diagnostic,what a need is
2,2,1,2,ma-g3-financial-literacy-u01-l02,Explicit model,what a want is
3,3,1,3,ma-g3-financial-literacy-u01-l03,Guided practice,why we cannot have everything
4,4,1,4,ma-g3-financial-literacy-u01-l04,Application or project,naming what we gave up
5,5,1,5,ma-g3-financial-literacy-u01-l05,Mastery check,private choices and different families
6,6,1,6,ma-g3-financial-literacy-u01-l06,Correction and reflection,steps of a careful choice
7,7,2,1,ma-g3-financial-literacy-u02-l01,Launch and diagnostic,earning money through work
8,8,2,2,ma-g3-financial-literacy-u02-l02,Explicit model,jobs in a community
9,9,2,3,ma-g3-financial-literacy-u02-l03,Guided practice,skills grow with practice
10,10,2,4,ma-g3-financial-literacy-u02-l04,Application or project,unpaid work at home
11,11,2,5,ma-g3-financial-literacy-u02-l05,Mastery check,"gifts, allowance, and earning"
12,12,2,6,ma-g3-financial-literacy-u02-l06,Correction and reflection,fairness and thank-you
13,13,3,1,ma-g3-financial-literacy-u03-l01,Launch and diagnostic,counting pretend money
14,14,3,2,ma-g3-financial-literacy-u03-l02,Explicit model,comparing two pretend prices
15,15,3,3,ma-g3-financial-literacy-u03-l03,Guided practice,bigger is not always better
16,16,3,4,ma-g3-financial-literacy-u03-l04,Application or project,making a pretend shopping list
17,17,3,5,ma-g3-financial-literacy-u03-l05,Mastery check,checking the pretend total
18,18,3,6,ma-g3-financial-literacy-u03-l06,Correction and reflection,changing a plan when money runs short
19,19,4,1,ma-g3-financial-literacy-u04-l01,Launch and diagnostic,what saving means
20,20,4,2,ma-g3-financial-literacy-u04-l02,Explicit model,short goals and longer goals
21,21,4,3,ma-g3-financial-literacy-u04-l03,Guided practice,a pretend savings chart
22,22,4,4,ma-g3-financial-literacy-u04-l04,Application or project,adding a little each week
23,23,4,5,ma-g3-financial-literacy-u04-l05,Mastery check,waiting is hard and normal
24,24,4,6,ma-g3-financial-literacy-u04-l06,Correction and reflection,reaching a goal and choosing next
25,25,5,1,ma-g3-financial-literacy-u05-l01,Launch and diagnostic,"pretend cash, coins, and cards"
26,26,5,2,ma-g3-financial-literacy-u05-l02,Explicit model,keeping money information private
27,27,5,3,ma-g3-financial-literacy-u05-l03,Guided practice,why ads want us to want
28,28,5,4,ma-g3-financial-literacy-u05-l04,Application or project,spotting an ad
29,29,5,5,ma-g3-financial-literacy-u05-l05,Mastery check,asking a question before believing
30,30,5,6,ma-g3-financial-literacy-u05-l06,Correction and reflection,who to tell about tricks
31,31,6,1,ma-g3-financial-literacy-u06-l01,Launch and diagnostic,choosing a pretend product
32,32,6,2,ma-g3-financial-literacy-u06-l02,Explicit model,figuring out pretend costs
33,33,6,3,ma-g3-financial-literacy-u06-l03,Guided practice,setting a pretend price
34,34,6,4,ma-g3-financial-literacy-u06-l04,Application or project,making an honest sign
35,35,6,5,ma-g3-financial-literacy-u06-l05,Mastery check,keeping a pretend sales record
36,36,6,6,ma-g3-financial-literacy-u06-l06,Correction and reflection,"sharing, giving, and reflecting"
