course_day,lesson_id,unit_number,unit_title,day_in_unit,phase,focus,standards,origin,sealed_course_day
1,ma-g8-mathematics-u01-l01,1,Real Numbers and Irrational Numbers,1,Launch and diagnostic,rational and irrational numbers,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,1
2,ma-g8-mathematics-u01-l02,1,Real Numbers and Irrational Numbers,2,Concept model A,decimal expansions,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,2
3,ma-g8-mathematics-u01-l03,1,Real Numbers and Irrational Numbers,3,Guided practice A,approximating square roots,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,3
4,ma-g8-mathematics-u01-l04,1,Real Numbers and Irrational Numbers,4,Independent application A,locating irrational numbers on number lines,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,4
5,ma-g8-mathematics-u01-l05,1,Real Numbers and Irrational Numbers,5,Concept model B,comparing real numbers,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,5
6,ma-g8-mathematics-u01-l06,1,Real Numbers and Irrational Numbers,6,Guided practice B,precision and estimation,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,6
7,ma-g8-mathematics-u01-l07,1,Real Numbers and Irrational Numbers,7,Investigation or close reading,rational and irrational numbers,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,7
8,ma-g8-mathematics-u01-l08,1,Real Numbers and Irrational Numbers,8,Reteach and varied practice,decimal expansions,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,8
9,ma-g8-mathematics-u01-l09,1,Real Numbers and Irrational Numbers,9,Concept model C,approximating square roots,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,9
10,ma-g8-mathematics-u01-l10,1,Real Numbers and Irrational Numbers,10,Discussion or problem seminar,locating irrational numbers on number lines,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,10
11,ma-g8-mathematics-u01-l11,1,Real Numbers and Irrational Numbers,11,Performance task planning,comparing real numbers,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,11
12,ma-g8-mathematics-u01-l12,1,Real Numbers and Irrational Numbers,12,Performance task build,precision and estimation,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,12
13,ma-g8-mathematics-u01-l13,1,Real Numbers and Irrational Numbers,13,Skill consolidation,rational and irrational numbers,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,13
14,ma-g8-mathematics-u01-l14,1,Real Numbers and Irrational Numbers,14,Transfer challenge,decimal expansions,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,14
15,ma-g8-mathematics-u01-l15,1,Real Numbers and Irrational Numbers,15,Assessment preparation,approximating square roots,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,15
16,ma-g8-mathematics-u01-l16,1,Real Numbers and Irrational Numbers,16,Unit assessment,locating irrational numbers on number lines,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,16
17,ma-g8-mathematics-u01-l17,1,Real Numbers and Irrational Numbers,17,Targeted correction,comparing real numbers,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,17
18,ma-g8-mathematics-u01-l18,1,Real Numbers and Irrational Numbers,18,"Publication, presentation, or reflection",precision and estimation,8.NS.1 8.NS.2 MP.2 MP.6,sealed-1.0.0,18
19,ma-g8-mathematics-u01-l19,1,Real Numbers and Irrational Numbers,19,Concept model — correction block,root symbols as exact solutions,8.EE.2 MP.2 MP.6,overlay-e9ead0c,
20,ma-g8-mathematics-u01-l20,1,Real Numbers and Irrational Numbers,20,Guided and independent practice — correction block,exact roots of perfect squares and perfect cubes,8.EE.2 MP.2 MP.6,overlay-e9ead0c,
21,ma-g8-mathematics-u01-l21,1,Real Numbers and Irrational Numbers,21,Consolidation and transfer — correction block,irrationality of √2 and transfer of root reasoning,8.EE.2 MP.2 MP.6,overlay-e9ead0c,
22,ma-g8-mathematics-u01-l22,1,Real Numbers and Irrational Numbers,22,Correction assessment,independent mastery evidence for 8.EE.2,8.EE.2 MP.2 MP.6,integration,
23,ma-g8-mathematics-u02-l01,2,Integer Exponents and Scientific Notation,1,Launch and diagnostic,laws of integer exponents,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,19
24,ma-g8-mathematics-u02-l02,2,Integer Exponents and Scientific Notation,2,Concept model A,powers of ten,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,20
25,ma-g8-mathematics-u02-l03,2,Integer Exponents and Scientific Notation,3,Guided practice A,scientific notation,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,21
26,ma-g8-mathematics-u02-l04,2,Integer Exponents and Scientific Notation,4,Independent application A,comparing extreme quantities,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,22
27,ma-g8-mathematics-u02-l05,2,Integer Exponents and Scientific Notation,5,Concept model B,operations in scientific notation,8.EE.1 8.EE.3 8.EE.4,sealed-1.0.0,23
