course_id,grade,subject,cited_code,resolved_code,classification,alias_applied,label_printed_by_source,source_defect,source_printed_variant,citation_count,prior_mapping_status,source_id,evidence_pages,method
ma-g3-mathematics,3,mathematics,3.G.1,3.G.1,COMPOSITE_VERIFIED,,False,False,,9,canonical,mde-mathematics,28|28,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.G.2,3.G.2,COMPOSITE_VERIFIED,,False,False,,8,canonical,mde-mathematics,28|28,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.MD.1,3.MD.1,COMPOSITE_VERIFIED,,False,False,,11,canonical,mde-mathematics,26|26,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.MD.2,3.MD.2,COMPOSITE_VERIFIED,,False,False,,14,canonical,mde-mathematics,26|27,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.MD.3,3.MD.3,COMPOSITE_VERIFIED,,False,False,,15,canonical,mde-mathematics,26|27,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.MD.4,3.MD.4,COMPOSITE_VERIFIED,,False,False,,9,canonical,mde-mathematics,26|27,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.MD.5,3.MD.5,COMPOSITE_VERIFIED,,False,False,,5,canonical,mde-mathematics,26|27,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.MD.6,3.MD.6,COMPOSITE_VERIFIED,,False,False,,5,canonical,mde-mathematics,26|27,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.MD.7,3.MD.7,COMPOSITE_VERIFIED,,False,False,,17,canonical,mde-mathematics,26|27,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.MD.8,3.MD.8,COMPOSITE_VERIFIED,,False,False,,13,canonical,mde-mathematics,26|27,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.NBT.1,3.NBT.1,COMPOSITE_VERIFIED,,False,False,,11,canonical,mde-mathematics,26|26,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.NBT.2,3.NBT.2,COMPOSITE_VERIFIED,,False,False,,12,canonical,mde-mathematics,26|26,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.NBT.3,3.NBT.3,COMPOSITE_VERIFIED,,False,False,,5,canonical,mde-mathematics,26|26,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.NF.1,3.NF.1,COMPOSITE_VERIFIED,,False,False,,18,canonical,mde-mathematics,26|26,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.NF.2,3.NF.2,COMPOSITE_VERIFIED,,False,False,,12,canonical,mde-mathematics,26|26,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.NF.3,3.NF.3,COMPOSITE_VERIFIED,,False,False,,18,canonical,mde-mathematics,26|26,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.OA.1,3.OA.1,COMPOSITE_VERIFIED,,False,False,,12,canonical,mde-mathematics,25|25,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.OA.2,3.OA.2,COMPOSITE_VERIFIED,,False,False,,10,canonical,mde-mathematics,25|25,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.OA.3,3.OA.3,COMPOSITE_VERIFIED,,False,False,,7,canonical,mde-mathematics,25|25,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.OA.4,3.OA.4,COMPOSITE_VERIFIED,,False,False,,3,canonical,mde-mathematics,25|25,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
ma-g3-mathematics,3,mathematics,3.OA.5,3.OA.5,COMPOSITE_VERIFIED,,False,False,,14,canonical,mde-mathematics,25|25,the source prints the domain code as a section header and the standards as numbered items beneath it; <grade>.<domain>.<number> is composed from both
