case_number,lesson_id,grade,phase,work_mode,scoring_stance,focus,classification,answer_authority_boundary_violation,generator_family,learner_visible_repair,authored_source,authored_source_line,generated_learner_package,generated_repair_line,correction_model,summative_pre_evidence_exposure,canonical_assessment_surface_exposes_repair
1,ma-g10-technology-u01-l02,10,Explicit model,MODEL,FORMATIVE_NO_PENALTY,arrays and lists,LEGITIMATE_WORKED_EXAMPLE,false,DATA_AGGREGATION,"The reducer uses total + record.value; the tests return 6, 0, and 0.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,2,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u01-l02.task-package.json,93,worked example separation,,
2,ma-g10-technology-u01-l03,10,Guided practice,GUIDED,PROGRESS_EVIDENCE,dictionaries and records and stacks and queues,FULL_SOLUTION_BEFORE_ATTEMPT,true,DATA_AGGREGATION,"The reducer uses total + record.value; the tests return 6, 0, and 0.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,3,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u01-l03.task-package.json,93,hint ladder,,
3,ma-g10-technology-u02-l01,10,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,searching algorithms,FULL_SOLUTION_BEFORE_ATTEMPT,true,ALGORITHM_INITIALIZATION,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,7,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l01.task-package.json,92,trusted solution reference,,
4,ma-g10-technology-u02-l02,10,Explicit model,MODEL,FORMATIVE_NO_PENALTY,sorting algorithms,LEGITIMATE_WORKED_EXAMPLE,false,ALGORITHM_INITIALIZATION,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,8,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l02.task-package.json,92,worked example separation,,
5,ma-g10-technology-u02-l03,10,Guided practice,GUIDED,PROGRESS_EVIDENCE,recursion and base cases and complexity and growth rates,FULL_SOLUTION_BEFORE_ATTEMPT,true,ALGORITHM_INITIALIZATION,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,9,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l03.task-package.json,92,hint ladder,,
6,ma-g10-technology-u02-l04,10,Application or project,BUILD,PROGRESS_EVIDENCE,correctness arguments and invariants and empirical timing and measurement,FULL_SOLUTION_BEFORE_ATTEMPT,true,ALGORITHM_INITIALIZATION,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,10,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l04.task-package.json,92,hint ladder plus trusted solution reference,,
7,ma-g10-technology-u02-l05,10,Mastery check,DEMONSTRATE,SUMMATIVE,"algorithms, efficiency, and correctness",SUMMATIVE_SOLUTION_EXPOSURE,true,ALGORITHM_INITIALIZATION,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,11,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l05.task-package.json,92,"trusted solution reference, then post-submission review",true,false
8,ma-g10-technology-u02-l06,10,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,"algorithms, efficiency, and correctness",FULL_SOLUTION_BEFORE_ATTEMPT,true,ALGORITHM_INITIALIZATION,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,12,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u02-l06.task-package.json,92,post-submission review,,
9,ma-g10-technology-u03-l02,10,Explicit model,MODEL,FORMATIVE_NO_PENALTY,schema design and normalization,LEGITIMATE_WORKED_EXAMPLE,false,DATA_AGGREGATION,"The reducer uses total + record.value; the tests return 6, 0, and 0.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,14,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u03-l02.task-package.json,92,worked example separation,,
10,ma-g10-technology-u03-l03,10,Guided practice,GUIDED,PROGRESS_EVIDENCE,query logic and filtering and aggregation and grouping,FULL_SOLUTION_BEFORE_ATTEMPT,true,DATA_AGGREGATION,"The reducer uses total + record.value; the tests return 6, 0, and 0.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-10/lessons.jsonl,15,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-10/ma-g10-technology-u03-l03.task-package.json,92,hint ladder,,
